스키마,테이블,행수,컬럼수
dbo,MarketRel,13124046,3
dbo,지번,7959052,11
dbo,Redirect,7556919,2
dbo,주소,6016024,11
dbo,주소부가정보,6016024,9
dbo,RoadNameAddress,5965956,24
dbo,ProcLog,1279901,6
dbo,ReceiptStat,1241553,18
dbo,SmsHistory,1234894,13
dbo,MarketMember,1092502,4
dbo,ViT_ReceiptStatAll,1005879,17
dbo,ViT_ReceiptStatAll2,979728,17
dbo,ViT_ReceiptStat,781678,17
dbo,Member,639657,36
dbo,RelMemBe,638686,7
dbo,Member_20240205,537210,36
dbo,ReceiptDet,490662,34
dbo,tb_consult,461762,21
dbo,ReceiptMst,427041,23
dbo,ReciptType01,416207,43
dbo,LogInfo,367182,7
dbo,도로주소,350092,17
dbo,ReceiptStat_20210621,321153,18
dbo,Member_20200325,317078,36
dbo,agencyCoin,273804,14
dbo,ReceiptLog,264431,8
dbo,reqData_20251022_1,222222,16
dbo,reqData_20260210,222222,13
dbo,tb_consult_20220504,195280,21
dbo,reqData_20251023_1,181604,15
dbo,reqData_20251022,181547,13
dbo,FileInfo,151239,13
dbo,reqData_20251023_2,149150,15
dbo,agencyCoin_20240104,127876,14
dbo,AgencyCoinGroup,127428,10
dbo,AreaStat,121464,13
dbo,Del_ReceiptStat,120755,18
dbo,ApiReceipt,113641,22
dbo,lunar2solar,109531,5
dbo,CalBlanceToss,96860,12
dbo,WMENU_HIS,79882,6
dbo,ContractDet,77058,14
dbo,tb_consult_TEST,73468,21
dbo,WCDR_HIS_PRV,70677,8
dbo,agencyCoin_20221019,69166,14
dbo,KakaoRestriction,67118,4
dbo,ContractMst,56490,34
dbo,ZipCode,51799,9
dbo,ReciptType99,50934,27
dbo,WorkSch,47057,15
dbo,tb_consult_interest,46834,8
dbo,SUM_CalBalance_20210412,44343,18
dbo,SUM_CalBalance,41537,18
dbo,CalBalance,41440,22
dbo,재이용고객_접수번호,39999,1
dbo,재이용고객_2023,34317,1
dbo,tb_consult_interest_TEST,27824,8
dbo,ContractMst_20240516,27405,34
dbo,CidList,26091,8
dbo,call_Proc_list,23557,4
dbo,ReciptType02,23262,25
dbo,SUM_CalBalance_20240329,23137,18
dbo,HappyCallDst,22999,8
dbo,AptTossCost,22234,19
dbo,apt_20240807,22233,17
dbo,AptTossCost_20240630,21809,19
dbo,AptTossCost_20240711,21809,19
dbo,AptTossCost_20240104,21800,19
dbo,토스비,21800,15
dbo,TBL_MOPTION,20485,13
dbo,ContractDetReq,18218,16
dbo,CALLBACK_INTERNET,18185,9
dbo,CouponSms,18167,18
dbo,MVC_DATA,17211,4
dbo,ElectContract,17196,4
dbo,AuthUserRoll,16929,4
dbo,음력달력,15000,3
dbo,old_Tbl_moving,14842,135
dbo,WorkSch_20150407,14067,13
dbo,Del_ReceiptDet,13885,33
dbo,Del_ReceiptMst,13583,19
dbo,Del_ContractDet,13273,14
dbo,Deposit,13107,15
dbo,RoyaltyMng,12366,10
dbo,Del_ContractMst,11949,34
dbo,AI_API_ETC,11667,22
dbo,StockMonth,11508,15
dbo,AuthUserRoll_20200106,10507,4
dbo,Coupon,10003,14
dbo,CalBlanceWork,9858,18
dbo,zipCode_dong_20250525,9442,3
dbo,ContractMstReq,8688,37
dbo,SMS_BATCH_DETAIL,8507,10
dbo,IoDet,8341,23
dbo,CompReqDet,8298,24
dbo,CollectBillsDet,7800,12
dbo,CalPerBalance,7517,31
dbo,excelSms,7195,20
dbo,FaxSend,6928,7
dbo,AUTO_TOSS_DATA,6838,17
dbo,callBack_Proc_list,6684,4
dbo,AccStatement,6500,14
dbo,zipCode_dong,6133,3
dbo,zipCode_dong_20250226,6133,3
dbo,MVC_VERSIONS,5798,6
dbo,member_120426,5487,27
dbo,TossAreaBelong_20250304,5268,11
dbo,CalBalancePrtLog,5251,7
dbo,LivingWorker,5109,11
dbo,MacAddressMng_20260611,4415,10
dbo,HappyCallMst,4356,14
dbo,MacAddressMng,4321,10
dbo,CalBalance_sim,4219,22
dbo,후주소4_5월,3779,4
dbo,CalBalance_20210712,3579,22
dbo,IoMst,3575,11
dbo,del_AuthUserRoll,3479,4
dbo,CompReqMst,3365,15
dbo,후주소_202506,3014,4
dbo,CollectBillsMst,2897,12
dbo,AptTossCost_20240101,2818,19
dbo,토스비용엑셀,2263,14
dbo,CalBalance_20210409,2137,22
dbo,ASInfoDet,2097,12
dbo,후주소_202507,2043,2
dbo,WorkSch_20121019,2029,13
dbo,AuthUserRoll_20141202,2025,4
dbo,WCALLBACK,2002,12
dbo,ASInfoMst,1963,18
dbo,후주소2,1909,2
dbo,label_addr,1909,1
dbo,toss20240711,1909,15
dbo,WACCEPT,1892,9
dbo,후주소11월,1803,4
dbo,ContractDetHis,1785,22
dbo,AptMoveIn,1668,18
dbo,WCDR_HIS,1643,8
dbo,Employee,1554,35
dbo,후주소_202505,1552,4
dbo,Employee_20250422,1522,35
dbo,후주소마케팅_06,1462,4
dbo,후주소_202508,1415,4
dbo,후주소12월,1395,4
dbo,label_addr_20250507,1341,1
dbo,Item,1299,23
dbo,CodeD,1259,8
dbo,후주소26년3월2,1254,4
dbo,후주소9월,1219,4
dbo,GA_ESTIMATE_SUM,1152,4
dbo,del_MacAddressMng,1141,10
dbo,후주소10월,1101,4
dbo,item_20150310,1065,22
dbo,ioDEt_20150511,1013,23
dbo,Belong,985,34
dbo,BeLongCteTBL,983,19
dbo,OutReqDet,945,12
dbo,Belong_20250422,941,34
dbo,belong_20240825,914,33
dbo,WEB_TOSS,899,9
dbo,Magazine,871,16
dbo,HomeAndMove_stat_Proc,868,10
dbo,CalCusBalance,851,35
dbo,TossAreaBelong_20260201,822,13
dbo,AuthUserRollLog,815,7
dbo,area_20260201,801,12
dbo,AuthTempMenu,783,4
dbo,TossAreaBelong,781,13
dbo,ReceiptMobile,780,30
dbo,후주소26년1월1,761,4
dbo,후주소26년1월2,761,4
dbo,후주소26년2월2,746,4
dbo,후주소26년4월1,729,4
dbo,JoinAmtMng,721,10
dbo,후주소26년3월1,706,4
dbo,후주소26년3월3,677,4
dbo,TBL_SITTER,672,62
dbo,TEST2,668,9
dbo,후주소26년5월2,643,4
dbo,후주소26년6월2,638,4
dbo,후주소26년2월1,623,4
dbo,HomeAndMoveStat,617,9
dbo,MarketKeyWord,605,12
dbo,TBL_MSG_HIST,590,32
dbo,MVC_FILES,584,10
dbo,후주소26년4월4,574,4
dbo,apt,555,19
dbo,SmsRejectList,549,6
dbo,Item_back,544,21
dbo,calCusBalance_temp,517,34
dbo,ioMst_20150511,482,11
dbo,후주소26년4월2,477,4
dbo,후주소26년4월3,477,4
dbo,roadMng,461,10
dbo,OutReqMst,450,10
dbo,BELONG_20150310,429,33
dbo,TEST1,412,20
dbo,TossAreaBelong_20250528,405,13
dbo,후주소12월2,404,4
dbo,tb_reserve_call,388,11
dbo,emp2,348,2
dbo,RecPathItem,337,10
dbo,AuthMenuInfo,329,8
dbo,emp3,323,28
dbo,emp6,323,28
dbo,PhoneAuth,318,4
dbo,SmsStatAccounts,312,9
dbo,BranchAppraisal,302,16
dbo,후주소26년6월1,298,4
dbo,MsgTemp_20260224,296,11
dbo,MsgTemp,295,11
dbo,후주소26년3월4,290,4
dbo,후주소26년5월1,289,4
dbo,CalTypeDet,275,11
dbo,tb_jin_schedule,271,9
dbo,emp_upload,267,28
dbo,ReciptType03,264,41
dbo,시도군,258,2
dbo,ZIPCODE_ROADCODE,258,5
dbo,item_upload,257,21
dbo,AreaGuGun,251,2
dbo,AuthMenuBtn,250,14
dbo,자동토스,236,12
dbo,member_delete,235,30
dbo,SmsReject,231,6
dbo,Belong_backup,230,26
dbo,PackageItemMst,225,10
dbo,PackageItemDet,210,9
dbo,upload_item,208,21
dbo,del_item,202,22
dbo,ReceiptMemo,199,8
dbo,TEST3,199,30
dbo,BranchAppraisal_20130107,198,16
dbo,BelongCar,197,8
dbo,GA_GOODS,197,12
dbo,member_upload,195,27
dbo,EqContDeposit,187,12
dbo,StockClose,185,6
dbo,Category,169,10
dbo,Member_empCod,159,36
dbo,PurchaseItem,159,17
dbo,EqContRental,156,12
dbo,ReceiptStat_backup,155,18
dbo,CodeM,141,3
dbo,CalBlanceWork_sample,140,18
dbo,ReceiptAddInfo,132,6
dbo,Worker,129,13
dbo,belong_upload,118,25
dbo,rndNumber,100,1
dbo,자동토스_지역_연결,97,17
dbo,ReciptType04,94,19
dbo,belong_excel,83,6
dbo,CalTypeMst,83,7
dbo,SmsAutoHistory,80,11
dbo,emp_upload_2,79,6
dbo,upload_cate,78,6
dbo,S3_Tmp,77,2
dbo,apt_excel,75,16
dbo,sample,74,11
dbo,stockBasic,74,11
dbo,EduMng,69,9
dbo,EqIoDet,67,21
dbo,member_emp,67,36
dbo,milipass_log,65,8
dbo,HouseCodiSch,65,13
dbo,GA_BOARD,63,22
dbo,GA_BOARD_FILES,63,8
dbo,test,56,1
dbo,ViewAuthReq,55,16
dbo,EqIoMst,48,11
dbo,HomeAndMove_toss,44,9
dbo,Hanbang,42,30
dbo,bussCard,42,21
dbo,HouseCodiMst,40,31
dbo,MEMBER_SECESSION,39,7
dbo,Employee_d,38,35
dbo,OrganPerson,36,14
dbo,Customer,31,19
dbo,tb_code_info,31,10
dbo,ReceiptStat_R20230201533,30,18
dbo,OrderDet,29,13
dbo,OrganInfo,28,15
dbo,AuthTemp,26,3
dbo,TBL_SUBMIT_QUEUE,26,32
dbo,ExceptMac,25,5
dbo,MemberAddInfo,21,8
dbo,AUTO_TOSS_TIME,21,14
dbo,KakaoRestrictionCancel,19,4
dbo,OrderMst,18,13
dbo,HouseCodiSchHis,17,15
dbo,EventRecord,16,11
dbo,HappyRec,15,8
dbo,EquiCustomer,15,20
dbo,extraPayMng,14,12
dbo,HappyCallAsk_20170626,14,12
dbo,AuthButton,13,18
dbo,Subj,13,8
dbo,HappyCallAsk,12,12
dbo,EqContMst,12,20
dbo,HappyCall,11,13
dbo,HomeAndMove,11,24
dbo,CouponPubli,10,12
dbo,Del_WorkSch,9,13
dbo,MOBILE_MENU,9,2
dbo,HouseCodiDet,8,10
dbo,HappyCallAns,7,8
dbo,Contractmst_bakcup,7,34
dbo,Contractdet_bakcup,7,14
dbo,ApiKeys,7,9
dbo,tossAuth,7,8
dbo,ASInfoDet_bak,6,15
dbo,milipass_Info,6,9
dbo,pangolin_test_table,6,4
dbo,OtherToss,6,11
dbo,FileDBInfo,5,9
dbo,Equipment,5,14
dbo,SMS_BATCH_MASTER,5,13
